taxonid,drop_stage,drop_reason,scientific_name,main_common_name,category_iucn,taxon_group
48342108,spatial_join,no spatial geometry in clean file,Omobranchus aurosplendidus,,VU,Fishes (not comprehensive)
162292832,spatial_join,no spatial geometry in clean file,Centrophorus lesliei,African Gulper Shark,EN,Fishes (not comprehensive)
48342120,spatial_join,no spatial geometry in clean file,Oman ypsilon,Oman Blenny,VU,Fishes (not comprehensive)
193654,spatial_join,no spatial geometry in clean file,Takifugu plagiocellatus,,EN,Fishes (not comprehensive)
176559231,spatial_join,no spatial geometry in clean file,Odontesthes brevianalis,,VU,Fishes (not comprehensive)
193666,spatial_join,no spatial geometry in clean file,Takifugu flavidus,Tawny Puffer,NT,Fishes (not comprehensive)
110462086,spatial_join,no spatial geometry in clean file,Lates japonicus,Japanese Lates,VU,Fishes (not comprehensive)
48342152,spatial_join,no spatial geometry in clean file,Omobranchus hikkaduwensis,Kikkadu Blenny,VU,Fishes (not comprehensive)
152781967,spatial_join,no spatial geometry in clean file,Squalus mitsukurii,Shortspine Spurdog,EN,Fishes (not comprehensive)
124396693,spatial_join,no spatial geometry in clean file,Raja ocellifera,Twineye Skate,EN,Fishes (not comprehensive)
123356310,spatial_join,no spatial geometry in clean file,Centroberyx affinis,Redfish,VU,Fishes (not comprehensive)
110847130,spatial_join,no spatial geometry in clean file,Mobula mobular,Spinetail Devil Ray,CR,Fishes (not comprehensive)
116855963,spatial_join,no spatial geometry in clean file,Telatrygon biasa,Indonesian Sharpnose Ray,VU,Fishes (not comprehensive)
57509025,spatial_join,no spatial geometry in clean file,Awaous commersoni,Commerson’s Freshwater Goby,VU,Fishes (not comprehensive)
48342178,spatial_join,no spatial geometry in clean file,Dactyloscopus insulatus,,VU,Fishes (not comprehensive)
193700,spatial_join,no spatial geometry in clean file,Balistes punctatus,Bluespotted Triggerfish,VU,Fishes (not comprehensive)
193706,spatial_join,no spatial geometry in clean file,Canthigaster marquesensis,,VU,Fishes (not comprehensive)
103933123,spatial_join,no spatial geometry in clean file,Rhinobatos borneensis,Borneo Guitarfish,EN,Fishes (not comprehensive)
