taxonid,drop_stage,drop_reason,scientific_name,main_common_name,category_iucn,taxon_group
173832556,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Ituglanis amphipotamus,,NT,"Fish (sharks, freshwater)"
107626351,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Galaxias sp. nov. 'Gourits',,VU,"Fish (sharks, freshwater)"
187250,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Ophthalmolebias rosaceus,Peixe-anual,VU,"Fish (sharks, freshwater)"
217304948,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Schizopygopsis chengi,,VU,"Fish (sharks, freshwater)"
61306,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Labeobarbus ruandae,,NT,"Fish (sharks, freshwater)"
118041979,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Hypancistrus vandragti,,VU,"Fish (sharks, freshwater)"
124556154,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Metriaclima koningsi,,CR,"Fish (sharks, freshwater)"
173834625,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Parotocinclus fluminense,,NT,"Fish (sharks, freshwater)"
176016770,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Pseudancistrus megacephalus,,CR,"Fish (sharks, freshwater)"
214525314,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Cobitis qujiangensis,,NT,"Fish (sharks, freshwater)"
109192069,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius sp. nov. 'south africa',,NT,"Fish (sharks, freshwater)"
115867013,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Metriaclima midomo,,NT,"Fish (sharks, freshwater)"
138527622,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Glyptothorax robustus,,VU,"Fish (sharks, freshwater)"
