taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
4185,45813880,2020-01-06T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/4185/45813880,"Emslie, R. 2020. Ceratotherium simum. The IUCN Red List of Threatened Species 2020: e.T4185A45813880. Accessed on 22 June 2026.",Ceratotherium simum,White Rhinoceros,NT,Decreasing,10080,85705,,species,,"[4183, 39317]",MAMMALIA,MAMMALS,NT,Mammals,4185,self,True,False,NT
4200,17956330,2019-11-04T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/4200/17956330,"Butynski, T.M., De Jong, Y.A., Wieczkowski, J. & King, J. 2020. Cercocebus galeritus. The IUCN Red List of Threatened Species 2020: e.T4200A17956330. Accessed on 22 June 2026.",Cercocebus galeritus,Tana River Mangabey,CR,Decreasing,100-1000,,,species,,[],MAMMALIA,MAMMALS,CR,Mammals,4200,self,True,False,CR
4201,154210757,2019-01-17T00:00:00.000+00:00,2019,https://www.iucnredlist.org/species/4201/154210757,"Maisels, F., Oates, J.F., Linder, J., Ikemeh, R., Imong, I. & Etiendem, D. 2019. Cercocebus torquatus (errata version published in 2019). The IUCN Red List of Threatened Species 2019: e.T4201A154210757. Accessed on 22 June 2026.",Cercocebus torquatus,Red-capped Mangabey,EN,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,4201,self,True,False,EN
4203,17955753,2016-10-24T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/4203/17955753,"McCabe, G, Rovero, F., Fernández, D., Butynski, T.M. & Struhsaker, T.T. 2019. Cercocebus sanjei. The IUCN Red List of Threatened Species 2019: e.T4203A17955753. Accessed on 22 June 2026.",Cercocebus sanjei,Sanje River Mangabey,EN,Decreasing,,300,1873,species,,[],MAMMALIA,MAMMALS,EN,Mammals,4203,self,True,False,EN
4206,92247733,2019-07-15T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/4206/92247733,"Dempsey, A., Gonedelé Bi, S., Matsuda Goodwin, R. & Koffi, A. 2020. Cercocebus lunulatus. The IUCN Red List of Threatened Species 2020: e.T4206A92247733. Accessed on 22 June 2026.",Cercocebus lunulatus,White-naped Mangabey,EN,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,4206,self,True,False,EN
4207,17956177,2020-01-20T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/4207/17956177,"Hart, J.A. & Thompson, J. 2020. Cercocebus chrysogaster. The IUCN Red List of Threatened Species 2020: e.T4207A17956177. Accessed on 22 June 2026.",Cercocebus chrysogaster,Golden-bellied Mangabey,EN,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,4207,self,True,False,EN
4216,210337242,2019-01-21T00:00:00.000+00:00,2022,https://www.iucnredlist.org/species/4216/210337242,"Hart, J.A., Detwiler, K.M., Alempijevic, D., Lokasola, A. & Rylands, A.B. 2022. Chlorocebus dryas (amended version of 2021 assessment). The IUCN Red List of Threatened Species 2022: e.T4216A210337242. Accessed on 22 June 2026.",Chlorocebus dryas,Dryas Monkey,EN,Unknown,100-250,,23941,species,,[],MAMMALIA,MAMMALS,EN,Mammals,4216,self,True,False,EN
4217,17946182,2016-10-24T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/4217/17946182,"Matsuda Goodwin, R., Oates, J.F., Nobimè, G., Segniagbeto, G.H., Ikemeh, R. & Mittermeier, R.A. 2020. Cercopithecus erythrogaster. The IUCN Red List of Threatened Species 2020: e.T4217A17946182. Accessed on 22 June 2026.",Cercopithecus erythrogaster,Red-bellied Monkey,EN,Decreasing,,,136250,species,,"[40003, 40004]",MAMMALIA,MAMMALS,EN,Mammals,4217,self,True,False,EN
4218,17946043,2020-02-20T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/4218/17946043,"Hofner, A., Cronin, D.T., Imong, I., Gadsby, E.L. & Ndeloh, D. 2020. Cercopithecus erythrotis. The IUCN Red List of Threatened Species 2020: e.T4218A17946043. Accessed on 22 June 2026.",Cercopithecus erythrotis,Red-eared Monkey,VU,Decreasing,,,,species,,"[4235, 136851]",MAMMALIA,MAMMALS,VU,Mammals,4218,self,True,False,VU
4219,166615690,2018-03-21T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/4219/166615690,"Hart, J. & Maisels, F. 2020. Cercopithecus hamlyni (amended version of 2019 assessment). The IUCN Red List of Threatened Species 2020: e.T4219A166615690. Accessed on 22 June 2026.",Cercopithecus hamlyni,Owl-faced Monkey,VU,Decreasing,,,236800-315801,species,,[],MAMMALIA,MAMMALS,VU,Mammals,4219,self,True,False,VU
